date,timestamp,symbol,side,price,status,pnl
2026-08-24,2026-08-24T09:15:00,NIFTY,BUY,100.0,OPENED,
2026-08-24,2026-08-24T09:15:00,NIFTY,SELL,100.0,STOP_LOSS,-40.80000000000001
2026-08-24,2026-08-24T09:20:00,NIFTY,BUY,101.0,OPENED,
2026-08-24,2026-08-24T09:20:00,NIFTY,SELL,101.0,STOP_LOSS,-39.80000000000001
2026-08-24,2026-08-24T09:25:00,NIFTY,BUY,102.0,OPENED,
2026-08-24,2026-08-24T09:25:00,NIFTY,SELL,102.0,STOP_LOSS,-38.80000000000001
2026-08-24,2026-08-24T09:30:00,NIFTY,BUY,103.0,OPENED,
2026-08-24,2026-08-24T09:30:00,NIFTY,SELL,103.0,STOP_LOSS,-37.80000000000001
2026-08-24,2026-08-24T09:35:00,NIFTY,BUY,104.0,OPENED,
2026-08-24,2026-08-24T09:35:00,NIFTY,SELL,104.0,STOP_LOSS,-36.80000000000001
2026-08-24,2026-08-24T09:40:00,NIFTY,BUY,105.0,OPENED,
2026-08-24,2026-08-24T09:40:00,NIFTY,SELL,105.0,STOP_LOSS,-35.80000000000001
2026-08-24,2026-08-24T09:45:00,NIFTY,BUY,106.0,OPENED,
2026-08-24,2026-08-24T09:45:00,NIFTY,SELL,106.0,STOP_LOSS,-34.80000000000001
2026-08-24,2026-08-24T09:50:00,NIFTY,BUY,107.0,OPENED,
2026-08-24,2026-08-24T09:50:00,NIFTY,SELL,107.0,STOP_LOSS,-33.80000000000001
2026-08-24,2026-08-24T09:55:00,NIFTY,BUY,108.0,OPENED,
2026-08-24,2026-08-24T09:55:00,NIFTY,SELL,108.0,STOP_LOSS,-32.80000000000001
2026-08-24,2026-08-24T10:00:00,NIFTY,BUY,109.0,OPENED,
2026-08-24,2026-08-24T10:25:00,NIFTY,SELL,114.0,TAKE_PROFIT,5.0
2026-08-24,2026-08-24T10:30:00,NIFTY,BUY,115.0,OPENED,
2026-08-24,2026-08-24T10:55:00,NIFTY,SELL,125.0,TAKE_PROFIT,10.0
2026-08-24,2026-08-24T11:00:00,NIFTY,BUY,130.0,OPENED,
2026-08-24,2026-08-24T13:15:00,NIFTY,SELL,135.4,TAKE_PROFIT,5.400000000000006
2026-08-24,2026-08-24T13:20:00,NIFTY,BUY,135.6,OPENED,
2026-08-25,2026-08-25T09:15:00,NIFTY,BUY,100.0,OPENED,
2026-08-25,2026-08-25T09:15:00,NIFTY,SELL,100.0,STOP_LOSS,-40.80000000000001
2026-08-25,2026-08-25T09:20:00,NIFTY,BUY,101.0,OPENED,
2026-08-25,2026-08-25T09:20:00,NIFTY,SELL,101.0,STOP_LOSS,-39.80000000000001
2026-08-25,2026-08-25T09:25:00,NIFTY,BUY,102.0,OPENED,
2026-08-25,2026-08-25T09:25:00,NIFTY,SELL,102.0,STOP_LOSS,-38.80000000000001
2026-08-25,2026-08-25T09:30:00,NIFTY,BUY,103.0,OPENED,
2026-08-25,2026-08-25T09:30:00,NIFTY,SELL,103.0,STOP_LOSS,-37.80000000000001
2026-08-25,2026-08-25T09:35:00,NIFTY,BUY,104.0,OPENED,
2026-08-25,2026-08-25T09:35:00,NIFTY,SELL,104.0,STOP_LOSS,-36.80000000000001
2026-08-25,2026-08-25T09:40:00,NIFTY,BUY,105.0,OPENED,
2026-08-25,2026-08-25T09:40:00,NIFTY,SELL,105.0,STOP_LOSS,-35.80000000000001
2026-08-25,2026-08-25T09:45:00,NIFTY,BUY,106.0,OPENED,
2026-08-25,2026-08-25T09:45:00,NIFTY,SELL,106.0,STOP_LOSS,-34.80000000000001
2026-08-25,2026-08-25T09:50:00,NIFTY,BUY,107.0,OPENED,
2026-08-25,2026-08-25T09:50:00,NIFTY,SELL,107.0,STOP_LOSS,-33.80000000000001
2026-08-25,2026-08-25T09:55:00,NIFTY,BUY,108.0,OPENED,
2026-08-25,2026-08-25T09:55:00,NIFTY,SELL,108.0,STOP_LOSS,-32.80000000000001
2026-08-25,2026-08-25T10:00:00,NIFTY,BUY,109.0,OPENED,
2026-08-25,2026-08-25T10:25:00,NIFTY,SELL,114.0,TAKE_PROFIT,5.0
2026-08-25,2026-08-25T10:30:00,NIFTY,BUY,115.0,OPENED,
2026-08-25,2026-08-25T10:55:00,NIFTY,SELL,125.0,TAKE_PROFIT,10.0
2026-08-25,2026-08-25T11:00:00,NIFTY,BUY,130.0,OPENED,
2026-08-25,2026-08-25T13:15:00,NIFTY,SELL,135.4,TAKE_PROFIT,5.400000000000006
2026-08-25,2026-08-25T13:20:00,NIFTY,BUY,135.6,OPENED,
2026-08-26,2026-08-26T09:15:00,NIFTY,BUY,100.0,OPENED,
2026-08-26,2026-08-26T09:15:00,NIFTY,SELL,100.0,STOP_LOSS,-40.80000000000001
2026-08-26,2026-08-26T09:20:00,NIFTY,BUY,101.0,OPENED,
2026-08-26,2026-08-26T09:20:00,NIFTY,SELL,101.0,STOP_LOSS,-39.80000000000001
2026-08-26,2026-08-26T09:25:00,NIFTY,BUY,102.0,OPENED,
2026-08-26,2026-08-26T09:25:00,NIFTY,SELL,102.0,STOP_LOSS,-38.80000000000001
2026-08-26,2026-08-26T09:30:00,NIFTY,BUY,103.0,OPENED,
2026-08-26,2026-08-26T09:30:00,NIFTY,SELL,103.0,STOP_LOSS,-37.80000000000001
2026-08-26,2026-08-26T09:35:00,NIFTY,BUY,104.0,OPENED,
